id,canonical_institution_key,inst_global_rank,inst_prestige_tier,is_privileged,proxy_group
0708.0111,center for nanoscience,,unranked,False,Underrepresented
0708.0135,georgia institute of technology,,unranked,False,Underrepresented
0708.0177,yale university,21,top50,False,Underrepresented
0708.0207,university of maryland,,unranked,False,Underrepresented
0708.0230,university of illinois urbana champaign,,unranked,False,Underrepresented
0708.0259,,,no_institution,False,Underrepresented
0708.0324,pennsylvania state university,,unranked,False,Underrepresented
0708.0500,utrecht university,,unranked,False,Underrepresented
0708.0503,university of bergen,,unranked,False,Underrepresented
0708.0674,trieste astronomical observatory,,unranked,False,Underrepresented
0708.0701,riken center for emergent matter science,,unranked,False,Underrepresented
0708.0800,wayne state university,,unranked,False,Underrepresented
0708.0834,lowell observatory,,unranked,False,Underrepresented
0708.1084,university of turin,,unranked,False,Underrepresented
0708.1172,university of victoria,,unranked,False,Underrepresented
0708.1339,university of british columbia,,unranked,False,Underrepresented
0708.1361,mie university,,unranked,False,Underrepresented
0708.1479,thüringer landessternwarte tautenburg,,unranked,False,Underrepresented
0708.1680,duquesne university,,unranked,False,Underrepresented
0708.1720,national university of singapore,8,top20,True,Privileged
0708.1740,universidade federal da paraíba,,unranked,False,Underrepresented
0708.1754,beijing national laboratory for molecular sciences,,unranked,False,Underrepresented
0708.1825,perimeter institute,,unranked,False,Underrepresented
0708.2017,university of bayreuth,,unranked,False,Underrepresented
0708.2249,deutsches elektronen synchrotron desy,,unranked,False,Underrepresented
0708.2297,university of washington,,unranked,False,Underrepresented
0708.2356,university of sheffield,,unranked,False,Underrepresented
0708.2428,university of nebraska lincoln,,unranked,False,Underrepresented
0708.2555,kyoto university,,unranked,False,Underrepresented
0708.2602,university of jyväskylä,,unranked,False,Underrepresented
0708.2615,university of geneva,,unranked,False,Underrepresented
0708.2666,cy cergy paris université,,unranked,False,Underrepresented
0708.2778,university of lisbon,,unranked,False,Underrepresented
0708.2809,hiroshima university,,unranked,False,Underrepresented
0708.2886,ludwig maximilians universität münchen,,unranked,False,Underrepresented
0708.2922,brigham young university,,unranked,False,Underrepresented
0708.2953,university of michigan ann arbor,,unranked,False,Underrepresented
0708.3026,max planck institute for the physics of complex systems,,unranked,False,Underrepresented
0708.3047,,,no_institution,False,Underrepresented
0708.3270,brown university,,unranked,False,Underrepresented
0708.3359,institut polytechnique de grenoble,,unranked,False,Underrepresented
0708.3470,,,no_institution,False,Underrepresented
0708.3476,the university of tokyo,,unranked,False,Underrepresented
0708.3539,washington university in st louis,,unranked,False,Underrepresented
0708.3603,institute for theoretical and experimental physics,,unranked,False,Underrepresented
0708.3727,,,no_institution,False,Underrepresented
0708.3768,government of west bengal,,unranked,False,Underrepresented
0708.3798,purdue university west lafayette,,unranked,False,Underrepresented
0708.3970,university of maryland,,unranked,False,Underrepresented
0708.4142,hiroshima university,,unranked,False,Underrepresented
0708.4353,wesleyan university,,unranked,False,Underrepresented
0709.0119,osservatorio astronomico di bologna,,unranked,False,Underrepresented
0709.0251,max planck society,,unranked,False,Underrepresented
0709.0342,institute for advanced studies in basic sciences,,unranked,False,Underrepresented
0709.0694,university of delaware,,unranked,False,Underrepresented
0709.0706,winnipeg institute for theoretical physics,,unranked,False,Underrepresented
0709.1022,tohoku university,,unranked,False,Underrepresented
0709.1127,princeton university,25,top50,False,Underrepresented
0709.1171,harvard university,5,top20,True,Privileged
0709.1558,national university of ireland,,unranked,False,Underrepresented
0709.1642,pohang university of science and technology,,unranked,False,Underrepresented
0709.1686,space research and technology institute,,unranked,False,Underrepresented
0709.1761,university of victoria,,unranked,False,Underrepresented
0709.1764,institute of physics,,unranked,False,Underrepresented
0709.2046,hes so genève,,unranked,False,Underrepresented
0709.2115,,,no_institution,False,Underrepresented
0709.2135,yale university,21,top50,False,Underrepresented
0709.2421,university of concepción,,unranked,False,Underrepresented
0709.2519,kitt peak national observatory,,unranked,False,Underrepresented
0709.2670,laboratoire d informatique de grenoble,,unranked,False,Underrepresented
0709.2734,swinburne university of technology,,unranked,False,Underrepresented
0709.2844,the university of osaka,,unranked,False,Underrepresented
0709.3231,university of perugia,,unranked,False,Underrepresented
0709.3432,university of cambridge,6,top20,True,Privileged
0709.3433,sapienza university of rome,,unranked,False,Underrepresented
0709.3477,united states naval observatory,,unranked,False,Underrepresented
0709.3483,eth zurich,7,top20,True,Privileged
0709.3819,kent state university,,unranked,False,Underrepresented
0709.3936,johannes gutenberg university mainz,,unranked,False,Underrepresented
0709.3969,university of münster,,unranked,False,Underrepresented
0709.3992,,,no_institution,False,Underrepresented
0709.4014,university of prince edward island,,unranked,False,Underrepresented
0709.4144,max planck institute for chemical physics of solids,,unranked,False,Underrepresented
0709.4159,george mason university,,unranked,False,Underrepresented
0709.4246,university of utah,,unranked,False,Underrepresented
0709.4248,max planck society,,unranked,False,Underrepresented
0709.4400,smithsonian astrophysical observatory,,unranked,False,Underrepresented
0709.4418,voronezh state university,,unranked,False,Underrepresented
0709.4429,iit mit,,unranked,False,Underrepresented
0710.0142,marche polytechnic university,,unranked,False,Underrepresented
0710.0187,peking university,14,top20,True,Privileged
0710.0343,university of helsinki,,unranked,False,Underrepresented
0710.0404,university of cambridge,6,top20,True,Privileged
0710.0421,laboratoire astroparticule et cosmologie,,unranked,False,Underrepresented
0710.0558,space telescope science institute,,unranked,False,Underrepresented
0710.0656,,,no_institution,False,Underrepresented
0710.0717,centre national de la recherche scientifique,,unranked,False,Underrepresented
0710.0759,centre de physique théorique,,unranked,False,Underrepresented
0710.0840,leibniz institute for solid state and materials research,,unranked,False,Underrepresented
0710.1246,max planck society,,unranked,False,Underrepresented
0710.1277,university of hertfordshire,,unranked,False,Underrepresented
0710.1296,scuola internazionale superiore di studi avanzati,,unranked,False,Underrepresented
