query_arxiv_id,P@10,ndcg@10,rr@10,spd@10,tpr_gap@10,fpr_gap@10,priv_share@10,P@100,ndcg@100,rr@100,spd@100,tpr_gap@100,fpr_gap@100,priv_share@100
2406.11548,1.0,1.0,1.0,-0.0002082769249994793,-0.0016937669376693768,0.0,0.0,0.87,0.9783122894938773,1.0,-0.002082769249994793,-0.014735772357723578,-0.0003087226008691729,0.0
2407.19484,0.9,0.9363792118010481,1.0,0.00042305137800107914,0.0319931479242241,-2.119272665621159e-05,0.1,0.59,0.9228068031209556,1.0,-0.00018878434099311786,0.057285368802902054,-0.0008689017929046751,0.03
2410.13034,1.0,1.0,1.0,-0.0002082769249994793,-0.003051571559353067,0.0,0.0,0.95,0.9912735545273372,1.0,-0.0008201126439936761,0.013287051164683143,-0.00011176680972818312,0.02
2501.05536,0.8,0.8486026589039899,1.0,-0.0002082769249994793,-0.006962576153176675,-4.2676681461249574e-05,0.0,0.46,0.901767319149145,1.0,-0.0014514409469942348,0.004313770007946416,-0.0011522703994537385,0.01
2501.10890,0.8,0.7510916729774053,1.0,0.00042305137800107914,-0.004228329809725159,0.0006388198844135138,0.1,0.55,0.8675855480157235,1.0,0.0086498119010147,0.05686080611061856,0.0037995941810292423,0.17
2501.13653,1.0,1.0,1.0,-0.0002082769249994793,-0.0024563989191844758,0.0,0.0,0.97,0.9976698876015474,1.0,-0.002082769249994793,-0.023827069516089414,-6.827181284420373e-05,0.0
2502.16753,0.2,0.23365080824310533,0.5,-0.0002082769249994793,-0.0025380710659898475,-0.00016940179989412388,0.0,0.22,0.6153370739000329,0.5,0.0004425439620074408,0.10088832487309644,-0.0010109136374877575,0.04
2502.20795,0.7,0.721801830382049,1.0,-0.0002082769249994793,-0.00402067777139575,-6.483402489626556e-05,0.0,0.68,0.9167130759049975,1.0,-0.002082769249994793,-0.039058012636415854,-0.0006915629322268327,0.0
2503.16930,1.0,1.0,1.0,-0.0002082769249994793,-0.003202049311559398,0.0,0.0,0.96,0.9876972498013171,1.0,-0.0014514409469942348,-0.00716365450632591,-8.910670527957229e-05,0.01
2505.15283,0.2,0.1736666713479918,0.3333333333333333,-0.0002082769249994793,-0.0010126582278481013,-0.00017376949476519398,0.0,0.16,0.5532567151892196,0.3333333333333333,-0.0014514409469942348,-0.00810126582278481,-0.0011766844317956503,0.01
2505.23969,0.0,0.0,0.041666666666666664,0.0010543796810016375,0.0,0.0010583115447922006,0.2,0.04,0.2701734864534279,0.041666666666666664,-0.00018878434099311786,-0.025,-0.00010521652708478531,0.03
