query_arxiv_id,rank,score,doc_arxiv_id,top_uni,relevant
0712.3875,89,0.8726913928985596,2011.01012,False,False
0712.3875,90,0.8726406097412109,1210.2026,False,True
0712.3875,91,0.8720949292182922,math/0409174,False,False
0712.3875,92,0.8719462752342224,math/9807048,False,False
0712.3875,93,0.8713478446006775,2105.14828,False,False
0712.3875,94,0.8713266849517822,1604.05454,False,False
0712.3875,95,0.8712984323501587,1910.12405,False,False
0712.3875,96,0.8710182309150696,2509.09548,False,False
0712.3875,97,0.8709006309509277,1702.08128,False,False
0712.3875,98,0.8707950115203857,math/0409527,False,False
0712.3875,99,0.8706664443016052,2503.23636,False,False
0712.3875,100,0.8704671859741211,2508.16137,False,True
0912.4838,1,0.9287530779838562,gr-qc/0212059,False,True
0912.4838,2,0.9190191030502319,1311.4172,False,True
0912.4838,3,0.9175441265106201,1712.09364,False,True
0912.4838,4,0.9163892269134521,1402.4141,False,False
0912.4838,5,0.9140012860298157,1002.1560,False,True
0912.4838,6,0.9133588075637817,hep-ph/9907218,False,False
0912.4838,7,0.9128720760345459,hep-th/0105320,False,False
0912.4838,8,0.9108883142471313,hep-th/0409055,False,False
0912.4838,9,0.9104834794998169,0704.1035,False,True
0912.4838,10,0.9099209308624268,1909.11353,False,True
0912.4838,11,0.9091628193855286,2110.13156,False,False
0912.4838,12,0.9086531400680542,hep-th/0202210,True,False
0912.4838,13,0.908454418182373,1201.3506,False,True
0912.4838,14,0.9071510434150696,hep-th/9911124,False,False
0912.4838,15,0.9055381417274475,1202.2221,False,False
0912.4838,16,0.9045528769493103,hep-th/0304211,False,False
0912.4838,17,0.9044114351272583,hep-th/0609034,False,False
0912.4838,18,0.9043824672698975,1311.6798,False,True
0912.4838,19,0.9043625593185425,hep-th/0112165,False,True
0912.4838,20,0.9035017490386963,2308.09503,False,True
0912.4838,21,0.9034978747367859,2111.00955,False,False
0912.4838,22,0.9025943875312805,0910.1777,False,True
0912.4838,23,0.9023625254631042,1505.07458,False,False
0912.4838,24,0.9018673300743103,hep-th/0311197,False,True
0912.4838,25,0.9017719030380249,1808.01506,False,True
0912.4838,26,0.9011667370796204,gr-qc/9703015,False,True
0912.4838,27,0.9010090827941895,hep-th/9910022,False,False
0912.4838,28,0.9004411697387695,0811.4629,False,True
0912.4838,29,0.9004106521606445,gr-qc/9708031,False,True
0912.4838,30,0.900148868560791,gr-qc/9804077,False,True
0912.4838,31,0.8997616767883301,2407.03410,False,True
0912.4838,32,0.8992810845375061,hep-th/0106010,False,False
0912.4838,33,0.8992141485214233,hep-th/0311076,False,False
0912.4838,34,0.899039626121521,hep-th/9807237,False,False
0912.4838,35,0.8988320827484131,0805.1451,True,True
0912.4838,36,0.8987510204315186,hep-th/0610114,False,False
0912.4838,37,0.8986939191818237,1105.6255,False,False
0912.4838,38,0.8986178636550903,0909.3319,True,False
0912.4838,39,0.8983286619186401,2312.00879,False,True
0912.4838,40,0.8976073861122131,1211.0038,False,True
0912.4838,41,0.8972467184066772,hep-th/9903267,False,False
0912.4838,42,0.8970633745193481,hep-th/0101091,False,False
0912.4838,43,0.8967903852462769,2209.01394,False,True
0912.4838,44,0.8967573642730713,1902.05941,False,True
0912.4838,45,0.896613597869873,2501.07495,False,True
0912.4838,46,0.8965833783149719,1902.10906,False,False
0912.4838,47,0.8964943885803223,1009.2442,False,True
0912.4838,48,0.896408200263977,astro-ph/0106421,False,False
0912.4838,49,0.8962605595588684,hep-th/0211011,False,False
0912.4838,50,0.8961122035980225,0912.3875,False,True
0912.4838,51,0.8953820466995239,hep-th/0103036,False,False
0912.4838,52,0.8949601650238037,1204.0886,False,True
0912.4838,53,0.8948976993560791,hep-th/0005087,False,False
0912.4838,54,0.8948928713798523,0909.0274,False,True
0912.4838,55,0.8942667841911316,gr-qc/0701104,False,True
0912.4838,56,0.8941512107849121,1010.6301,False,True
0912.4838,57,0.8941394686698914,1308.4482,False,True
0912.4838,58,0.8936617374420166,1008.3832,False,False
0912.4838,59,0.8933476805686951,1602.08661,False,True
0912.4838,60,0.892715573310852,2505.07934,False,True
0912.4838,61,0.8922955393791199,1106.3085,False,False
0912.4838,62,0.8922699689865112,hep-th/0602027,False,False
0912.4838,63,0.8922358751296997,hep-th/9909215,False,False
0912.4838,64,0.8917169570922852,1104.2260,False,True
0912.4838,65,0.8916911482810974,2403.14933,False,False
0912.4838,66,0.8914528489112854,hep-th/0405117,False,False
0912.4838,67,0.8911812901496887,hep-th/0405120,False,False
0912.4838,68,0.8911176919937134,0712.2860,False,False
0912.4838,69,0.8908639550209045,1202.4497,False,True
0912.4838,70,0.8907493352890015,hep-th/0207189,False,True
0912.4838,71,0.890662431716919,hep-th/0208142,False,False
0912.4838,72,0.8903099298477173,0803.1850,False,True
0912.4838,73,0.8901324272155762,1203.6179,False,True
0912.4838,74,0.8900432586669922,1207.2477,False,False
0912.4838,75,0.890017032623291,1011.2961,False,True
0912.4838,76,0.8899887800216675,2312.17549,False,True
0912.4838,77,0.8895745277404785,hep-th/0410158,False,True
0912.4838,78,0.8892042636871338,hep-th/0703261,False,False
0912.4838,79,0.8890314102172852,1107.5746,False,True
0912.4838,80,0.8881872892379761,hep-th/9703063,False,False
0912.4838,81,0.8879973888397217,hep-th/0304094,True,False
0912.4838,82,0.887814462184906,1705.00752,False,False
0912.4838,83,0.8876352310180664,hep-ph/0604152,False,False
0912.4838,84,0.8874467611312866,0705.2563,False,False
0912.4838,85,0.8873082399368286,hep-th/9908075,False,False
0912.4838,86,0.8872810006141663,2005.10991,False,True
0912.4838,87,0.8871335983276367,0802.0939,False,True
0912.4838,88,0.8870365619659424,1303.1995,True,True
0912.4838,89,0.8868941068649292,1811.09518,False,True
0912.4838,90,0.8868829607963562,2407.20319,False,False
0912.4838,91,0.8868534564971924,hep-th/0311055,False,False
0912.4838,92,0.8865240812301636,1910.12149,False,True
0912.4838,93,0.8864128589630127,1001.0394,False,False
0912.4838,94,0.8863193392753601,hep-th/9801053,False,True
0912.4838,95,0.886098325252533,1208.6244,False,False
0912.4838,96,0.8858944773674011,hep-th/0010208,False,False
0912.4838,97,0.8857038021087646,2306.08156,False,False
0912.4838,98,0.8856096267700195,1809.02090,False,False
0912.4838,99,0.8854513168334961,hep-th/0001011,False,False
0912.4838,100,0.8853132724761963,hep-th/0207226,False,False
1002.4743,1,0.8862809538841248,physics/0304042,False,True
1002.4743,2,0.8819962739944458,hep-ph/9911277,False,False
1002.4743,3,0.8706430196762085,2009.09651,False,True
1002.4743,4,0.8664771318435669,1609.02878,False,False
1002.4743,5,0.8646796345710754,2209.01049,False,True
1002.4743,6,0.8640591502189636,1810.01354,False,True
1002.4743,7,0.856191098690033,astro-ph/0201454,False,False
1002.4743,8,0.854314923286438,1412.5105,False,False
1002.4743,9,0.8537083268165588,2304.09480,False,False
1002.4743,10,0.8537032604217529,physics/0402107,False,True
1002.4743,11,0.8536869883537292,2407.12913,False,True
1002.4743,12,0.850817084312439,astro-ph/0605715,False,False
1002.4743,13,0.8500067591667175,2406.03020,False,False
1002.4743,14,0.8499305844306946,1004.1617,False,True
1002.4743,15,0.8477391600608826,physics/0610164,False,True
1002.4743,16,0.8465731739997864,2003.03820,False,False
1002.4743,17,0.844796895980835,1002.2073,False,False
1002.4743,18,0.8438175916671753,1606.00529,False,True
1002.4743,19,0.8423687815666199,1001.2514,False,True
1002.4743,20,0.8414589166641235,2008.04645,False,True
1002.4743,21,0.8383609056472778,2312.03592,False,False
1002.4743,22,0.8383092880249023,1711.10036,False,True
1002.4743,23,0.8382061123847961,1603.02857,False,False
1002.4743,24,0.8376361131668091,1501.00896,False,False
1002.4743,25,0.8368818759918213,1808.07546,False,True
1002.4743,26,0.8357190489768982,1408.6067,True,True
1002.4743,27,0.8349794149398804,1106.1373,False,False
1002.4743,28,0.8341253995895386,1610.05900,False,False
1002.4743,29,0.8339956998825073,astro-ph/0209493,False,False
1002.4743,30,0.8332610726356506,physics/9706010,False,True
1002.4743,31,0.8332362771034241,1801.10012,False,False
1002.4743,32,0.832978367805481,0902.1713,False,False
1002.4743,33,0.831132173538208,nlin/0611057,False,False
1002.4743,34,0.8297258019447327,physics/0103007,False,True
1002.4743,35,0.8286682963371277,0802.3602,False,True
1002.4743,36,0.8274267911911011,1703.01555,False,False
1002.4743,37,0.8271937966346741,hep-ph/0208042,False,False
1002.4743,38,0.8271241188049316,hep-ph/0102100,False,False
1002.4743,39,0.8270837068557739,2212.00577,False,True
1002.4743,40,0.8270716071128845,hep-ph/9412388,False,False
1002.4743,41,0.8268431425094604,physics/0604099,False,True
1002.4743,42,0.8264490365982056,astro-ph/0405627,False,False
1002.4743,43,0.825713574886322,1912.09751,False,False
1002.4743,44,0.8252947330474854,1910.03885,False,True
1002.4743,45,0.8252267241477966,1009.4029,False,False
1002.4743,46,0.8252121210098267,2001.00717,False,False
1002.4743,47,0.8249183297157288,quant-ph/0411187,False,False
1002.4743,48,0.824647068977356,1002.1534,False,False
1002.4743,49,0.8239055275917053,2412.16873,False,False
1002.4743,50,0.8235460519790649,1504.00335,False,True
1002.4743,51,0.822231650352478,2310.17605,False,False
1002.4743,52,0.822117269039154,hep-ph/0208139,False,False
1002.4743,53,0.8213998675346375,1303.2657,False,False
1002.4743,54,0.8212616443634033,nucl-ex/9504001,False,False
1002.4743,55,0.8210423588752747,2506.16439,False,False
1002.4743,56,0.8201090693473816,2104.14326,False,True
1002.4743,57,0.8197627663612366,physics/0003097,False,False
1002.4743,58,0.8197157979011536,2603.26826,False,False
1002.4743,59,0.8196589946746826,nlin/0608025,False,False
1002.4743,60,0.8193954825401306,0704.0712,False,True
1002.4743,61,0.819062352180481,1104.5124,False,False
1002.4743,62,0.8180121183395386,2604.14812,False,False
1002.4743,63,0.817764401435852,quant-ph/0111105,False,False
1002.4743,64,0.8177274465560913,quant-ph/0407044,False,False
1002.4743,65,0.8157359957695007,2003.10740,False,False
1002.4743,66,0.8154208660125732,2501.16774,False,True
1002.4743,67,0.8153074383735657,1105.3615,False,False
1002.4743,68,0.8149430155754089,1706.08785,False,True
1002.4743,69,0.8149410486221313,physics/0610113,False,True
1002.4743,70,0.8149349689483643,physics/0304084,False,True
1002.4743,71,0.8147631883621216,nucl-th/9808073,False,False
1002.4743,72,0.8129903674125671,2011.05300,False,False
1002.4743,73,0.8118557929992676,hep-ph/9606299,False,False
1002.4743,74,0.8115490674972534,hep-ph/0001050,True,False
1002.4743,75,0.8110854029655457,astro-ph/9211014,False,False
1002.4743,76,0.8108331561088562,2005.04745,False,True
1002.4743,77,0.810664176940918,0903.4639,False,False
1002.4743,78,0.8102646470069885,2410.19045,False,False
1002.4743,79,0.8101707696914673,2402.11636,False,False
