query_arxiv_id,rank,score,doc_arxiv_id,orig_rank,privileged,relevant,min_underrep_share
1401.1090,3,0.8921326398849487,2505.00314,3,False,False,0.967
1401.1090,4,0.8901110291481018,2312.02876,4,False,False,0.967
1401.1090,5,0.8880677223205566,math/0610790,5,False,True,0.967
1401.1090,6,0.887772262096405,math/0012048,6,False,False,0.967
1401.1090,7,0.8847345113754272,2406.03347,7,False,True,0.967
1401.1090,8,0.8769329190254211,2605.26499,8,False,False,0.967
1401.1090,9,0.87363600730896,1711.03126,9,False,False,0.967
1401.1090,10,0.8735256791114807,2208.00421,10,True,False,0.967
1405.7605,1,0.9018475413322448,2401.04542,1,False,True,0.967
1405.7605,2,0.8951573967933655,1604.05454,2,False,True,0.967
1405.7605,3,0.8947697877883911,2602.17411,3,False,True,0.967
1405.7605,4,0.8908694386482239,1711.10998,4,False,True,0.967
1405.7605,5,0.8884679079055786,0807.4683,5,False,False,0.967
1405.7605,6,0.8878446221351624,2309.04007,6,True,True,0.967
1405.7605,7,0.8858436942100525,2311.15409,7,False,True,0.967
1405.7605,8,0.8827131390571594,2409.17797,8,False,True,0.967
1405.7605,9,0.8826878666877747,2001.03077,9,False,False,0.967
1405.7605,10,0.8824394345283508,math/9305205,10,False,False,0.967
1406.7173,1,0.8887488842010498,1706.00411,1,False,False,0.967
1406.7173,2,0.8877652883529663,1304.6899,2,False,False,0.967
1406.7173,3,0.8867401480674744,1501.01822,3,False,False,0.967
1406.7173,4,0.8816792964935303,2306.16309,4,False,False,0.967
1406.7173,5,0.87691730260849,1704.03459,5,True,False,0.967
1406.7173,6,0.8758436441421509,2208.09660,6,False,False,0.967
1406.7173,7,0.8755528330802917,cond-mat/0011174,7,False,False,0.967
1406.7173,8,0.8707301020622253,2006.15532,8,False,False,0.967
1406.7173,9,0.868154764175415,2106.10539,10,False,False,0.967
1406.7173,10,0.8672998547554016,2308.02895,11,False,False,0.967
1407.5034,1,0.8852494359016418,1104.3540,1,False,False,0.967
1407.5034,2,0.8771956562995911,1911.06451,2,False,False,0.967
1407.5034,3,0.8694769144058228,cond-mat/9705230,3,False,False,0.967
1407.5034,4,0.8639166951179504,2409.08452,4,False,True,0.967
1407.5034,5,0.857361912727356,1810.11566,5,False,False,0.967
1407.5034,6,0.8558683395385742,1802.07356,6,False,False,0.967
1407.5034,7,0.8531054258346558,1403.2969,7,False,False,0.967
1407.5034,8,0.8505547046661377,1612.04574,8,False,False,0.967
1407.5034,9,0.8500399589538574,0909.0554,9,False,False,0.967
1407.5034,10,0.8489313721656799,0810.1946,10,False,True,0.967
1407.5447,1,0.889706015586853,1211.0704,1,False,False,0.967
1407.5447,2,0.8813188076019287,1810.02989,2,False,False,0.967
1407.5447,3,0.874713659286499,1305.5884,3,False,False,0.967
1407.5447,4,0.8667866587638855,1510.05938,4,False,False,0.967
1407.5447,5,0.8640920519828796,1009.2858,5,False,False,0.967
1407.5447,6,0.8622841238975525,1005.1749,6,False,False,0.967
1407.5447,7,0.8616312742233276,0902.0558,7,False,False,0.967
1407.5447,8,0.861280083656311,1906.00284,8,False,False,0.967
1407.5447,9,0.8555265069007874,1012.0375,9,False,False,0.967
1407.5447,10,0.8552056550979614,2405.02694,10,False,False,0.967
1407.6234,1,0.904028594493866,2407.19047,1,False,True,0.967
1407.6234,2,0.8814727067947388,1608.04570,2,False,True,0.967
1407.6234,3,0.8810786604881287,2312.17302,3,False,False,0.967
1407.6234,4,0.8797619938850403,1604.05454,4,False,True,0.967
1407.6234,5,0.878835916519165,2502.04743,5,False,True,0.967
1407.6234,6,0.8731281161308289,0807.4302,6,False,False,0.967
1407.6234,7,0.8717983961105347,math/0104151,7,False,False,0.967
1407.6234,8,0.8710632920265198,1702.08128,8,False,False,0.967
1407.6234,9,0.8693252801895142,2309.09966,9,False,False,0.967
1407.6234,10,0.8681305646896362,1804.01510,10,False,True,0.967
1408.3524,1,0.8170909881591797,1502.00216,1,False,True,0.967
1408.3524,2,0.7931361198425293,1506.04783,2,False,True,0.967
1408.3524,3,0.7783597111701965,0805.3639,3,False,False,0.967
1408.3524,4,0.759825587272644,1502.05611,4,False,True,0.967
1408.3524,5,0.75825035572052,2007.13557,5,False,True,0.967
1408.3524,6,0.7576174736022949,2109.13950,6,False,True,0.967
1408.3524,7,0.7573293447494507,1401.5750,7,False,True,0.967
1408.3524,8,0.7479653358459473,2310.06608,8,False,False,0.967
1408.3524,9,0.7395886182785034,1310.3056,9,False,False,0.967
1408.3524,10,0.7384068965911865,1409.5607,10,False,False,0.967
1502.07238,1,0.8364731669425964,1004.3155,1,False,True,0.967
1502.07238,2,0.82796311378479,0809.0514,2,False,True,0.967
1502.07238,3,0.8246121406555176,2602.20897,3,False,True,0.967
1502.07238,4,0.8169533014297485,1903.04291,4,False,True,0.967
1502.07238,5,0.8139567971229553,1401.2619,5,False,True,0.967
1502.07238,6,0.8115792870521545,2604.05298,6,False,False,0.967
1502.07238,7,0.8100283741950989,0907.2167,7,False,True,0.967
1502.07238,8,0.8017804026603699,cond-mat/0207598,8,False,False,0.967
1502.07238,9,0.8009830117225647,2409.14311,9,False,True,0.967
1502.07238,10,0.7991273403167725,1901.06790,10,False,False,0.967
1508.01238,1,0.8896661400794983,0902.1875,1,False,False,0.967
1508.01238,2,0.8874257802963257,1005.3550,2,False,True,0.967
1508.01238,3,0.8852574229240417,2103.15192,3,False,False,0.967
1508.01238,4,0.8839154839515686,1708.06287,4,False,False,0.967
1508.01238,5,0.8827953338623047,math/0409534,5,False,False,0.967
1508.01238,6,0.8825337886810303,2509.06123,6,False,False,0.967
1508.01238,7,0.8823134899139404,0901.0235,7,False,True,0.967
1508.01238,8,0.881963312625885,1201.5186,8,False,False,0.967
1508.01238,9,0.8814605474472046,0906.5525,9,False,True,0.967
1508.01238,10,0.8801308274269104,2402.06961,10,False,False,0.967
1508.07619,1,0.9011428356170654,2211.05264,1,False,False,0.967
1508.07619,2,0.893604576587677,1508.06903,2,False,False,0.967
1508.07619,3,0.8902509212493896,2106.01201,3,False,False,0.967
1508.07619,4,0.8893929123878479,0710.1246,4,False,False,0.967
1508.07619,5,0.8860558271408081,1210.8029,5,False,False,0.967
1508.07619,6,0.8840882778167725,1105.3221,6,False,False,0.967
1508.07619,7,0.883280336856842,1507.06022,7,False,False,0.967
1508.07619,8,0.882412314414978,1604.01546,8,False,False,0.967
1508.07619,9,0.8811933398246765,2005.06295,9,False,False,0.967
1508.07619,10,0.8803213834762573,2507.10888,10,False,False,0.967
1511.05420,1,0.9090842604637146,0704.1136,1,False,True,0.967
1511.05420,2,0.8752458095550537,1207.6810,2,False,True,0.967
1511.05420,3,0.8663314580917358,2606.11413,3,False,True,0.967
1511.05420,4,0.8511368632316589,2406.03588,4,False,True,0.967
1511.05420,5,0.847764790058136,1902.02957,5,False,True,0.967
1511.05420,6,0.8428878784179688,0808.0475,6,False,True,0.967
1511.05420,7,0.8404116630554199,gr-qc/0611133,7,False,True,0.967
1511.05420,8,0.839647114276886,2404.18964,8,False,True,0.967
1511.05420,9,0.8393361568450928,2403.19261,9,False,False,0.967
1511.05420,10,0.8370833992958069,1611.04454,10,False,False,0.967
1603.04165,1,0.9022437334060668,0902.3502,1,False,True,0.967
1603.04165,2,0.8897757530212402,1805.10092,2,False,True,0.967
1603.04165,3,0.8880254030227661,2110.03530,3,False,False,0.967
1603.04165,4,0.8879072070121765,1411.2460,4,False,True,0.967
1603.04165,5,0.8876206278800964,hep-th/0006127,5,False,True,0.967
1603.04165,6,0.8855258226394653,2004.02909,6,False,True,0.967
1603.04165,7,0.8850322961807251,2112.03628,7,False,False,0.967
1603.04165,8,0.883479118347168,1208.1307,8,True,True,0.967
1603.04165,9,0.8823890089988708,2507.15943,9,False,True,0.967
1603.04165,10,0.8813961744308472,2305.00106,10,False,True,0.967
1604.04601,1,0.9151581525802612,2311.00305,1,False,True,0.967
1604.04601,2,0.9136818647384644,1706.06204,2,False,True,0.967
1604.04601,3,0.9136216044425964,1805.02721,3,False,True,0.967
1604.04601,4,0.907738983631134,1611.07648,4,False,True,0.967
1604.04601,5,0.9046792984008788,1803.03303,5,False,True,0.967
1604.04601,6,0.9045985341072084,1003.0633,6,False,True,0.967
1604.04601,7,0.904390513896942,1806.01181,7,False,True,0.967
1604.04601,8,0.9021626710891724,1301.2741,8,False,True,0.967
1604.04601,9,0.9020392298698424,2111.14602,9,False,True,0.967
1604.04601,10,0.9017212390899658,astro-ph/0512635,10,False,False,0.967
1604.06344,1,0.9405717849731444,astro-ph/0510764,1,False,False,0.967
1604.06344,2,0.9136052131652832,2505.03972,2,False,True,0.967
1604.06344,3,0.9094829559326172,astro-ph/0506231,3,False,False,0.967
1604.06344,4,0.9091320633888244,2402.04443,4,False,True,0.967
1604.06344,5,0.9088881015777588,astro-ph/0506135,5,False,False,0.967
1604.06344,6,0.9082247614860536,0704.2836,6,False,False,0.967
1604.06344,7,0.9077703952789308,1810.00922,7,False,False,0.967
1604.06344,8,0.9072301387786864,astro-ph/0401006,8,False,False,0.967
1604.06344,9,0.9040349721908568,1704.01182,9,False,True,0.967
1604.06344,10,0.9032623767852784,1208.1280,10,False,True,0.967
1612.01800,1,0.8707282543182373,2002.03900,1,False,True,0.967
1612.01800,2,0.8644864559173584,cond-mat/0009324,2,False,True,0.967
1612.01800,3,0.8626002073287964,1905.03829,3,False,True,0.967
1612.01800,4,0.858238935470581,cond-mat/0203195,4,False,False,0.967
1612.01800,5,0.8496435880661011,cond-mat/0102511,5,False,False,0.967
1612.01800,6,0.8488311171531677,1508.04701,6,False,False,0.967
1612.01800,7,0.84501713514328,1505.03849,7,False,False,0.967
1612.01800,8,0.844936728477478,1411.3689,8,False,True,0.967
1612.01800,9,0.8438333868980408,2302.03190,9,False,False,0.967
1612.01800,10,0.8431852459907532,2309.13919,10,False,False,0.967
1706.09817,1,0.8445199728012085,1504.06750,1,False,True,0.967
1706.09817,2,0.8368133902549744,2006.15245,2,False,True,0.967
1706.09817,3,0.8343536853790283,1401.8265,3,False,True,0.967
1706.09817,4,0.8339128494262695,2601.04433,4,False,True,0.967
1706.09817,5,0.8328852653503418,1802.06933,5,False,True,0.967
1706.09817,6,0.828804612159729,2501.00366,6,False,False,0.967
1706.09817,7,0.8275830745697021,1603.08179,7,False,True,0.967
1706.09817,8,0.8251105546951294,1304.2269,8,False,True,0.967
1706.09817,9,0.8244671821594238,2307.15023,9,False,True,0.967
1706.09817,10,0.8242508172988892,1503.05367,10,False,True,0.967
1708.07616,1,0.8402240872383118,2510.12656,1,False,False,0.967
1708.07616,2,0.8386961221694946,2605.09695,2,False,False,0.967
1708.07616,3,0.8341425657272339,cond-mat/0601597,3,False,False,0.967
1708.07616,4,0.8293490409851074,1711.03807,4,False,False,0.967
1708.07616,5,0.8277379870414734,1606.00292,5,False,False,0.967
1708.07616,6,0.8236414194107056,2304.10554,6,False,False,0.967
1708.07616,7,0.8218419551849365,1401.4416,7,False,False,0.967
1708.07616,8,0.8213735222816467,2401.01810,8,False,False,0.967
1708.07616,9,0.8182235956192017,2006.05524,9,False,False,0.967
1708.07616,10,0.8162807822227478,2312.14322,10,False,False,0.967
1709.03567,1,0.9394432306289672,1203.3549,1,False,True,0.967
1709.03567,2,0.9228196144104004,1801.03350,2,False,True,0.967
1709.03567,3,0.920686423778534,0908.4551,3,False,True,0.967
1709.03567,4,0.9183751344680786,2402.19115,4,False,True,0.967
1709.03567,5,0.9143032431602478,1405.3802,5,False,True,0.967
1709.03567,6,0.9115724563598632,2511.10413,6,False,True,0.967
1709.03567,7,0.9094665050506592,nucl-ex/0510052,7,False,True,0.967
1709.03567,8,0.9087997078895568,1510.08239,8,False,True,0.967
1709.03567,9,0.9072707295417786,hep-ph/0310274,9,False,True,0.967
1709.03567,10,0.9058971405029296,2209.08028,10,False,True,0.967
1711.04797,1,0.9000115394592285,1103.5539,1,False,False,0.967
1711.04797,2,0.8900542855262756,0706.2910,2,False,False,0.967
1711.04797,3,0.8808608055114746,1912.10710,3,False,True,0.967
1711.04797,4,0.8762773871421814,2309.04007,4,True,True,0.967
1711.04797,5,0.8719899654388428,1303.2500,5,False,False,0.967
1711.04797,6,0.8670052289962769,2409.18380,6,False,False,0.967
1711.04797,7,0.8666622042655945,2009.05017,7,False,False,0.967
1711.04797,8,0.8647535443305969,2404.08954,8,False,True,0.967
1711.04797,9,0.8643283843994141,2203.03249,9,False,True,0.967
1711.04797,10,0.8634315133094788,2501.10554,10,False,False,0.967
1810.07251,1,0.890937089920044,2002.07442,1,False,True,0.967
1810.07251,2,0.887649655342102,2103.11511,2,False,True,0.967
1810.07251,3,0.8693262934684753,1804.00892,3,False,True,0.967
1810.07251,4,0.8667101860046387,2104.14558,4,False,True,0.967
1810.07251,5,0.8544912338256836,2302.14309,5,False,True,0.967
1810.07251,6,0.853737473487854,1804.09066,6,False,True,0.967
1810.07251,7,0.8534636497497559,2110.02829,7,False,True,0.967
1810.07251,8,0.8475098013877869,2207.11504,8,False,True,0.967
1810.07251,9,0.8463051319122314,1409.4127,9,False,True,0.967
1810.07251,10,0.8461459875106812,1609.02612,10,False,True,0.967
1903.07788,1,0.9381504058837892,2206.02002,1,False,True,0.967
1903.07788,2,0.916658580303192,1503.04596,2,False,True,0.967
1903.07788,3,0.9151782989501952,2004.02747,3,False,True,0.967
1903.07788,4,0.9138555526733398,2006.10455,4,False,True,0.967
1903.07788,5,0.9108489751815796,1511.08861,5,False,True,0.967
1903.07788,6,0.9090498089790344,1810.09102,6,False,True,0.967
1903.07788,7,0.90202397108078,2311.18130,7,False,True,0.967
1903.07788,8,0.8955562710762024,1902.10416,8,False,True,0.967
1903.07788,9,0.8940034508705139,1906.00270,9,False,True,0.967
1903.07788,10,0.8925974369049072,1509.08038,10,False,True,0.967
1906.01749,1,0.8845601677894592,1901.06376,1,False,False,0.967
1906.01749,2,0.8813720941543579,2311.09836,2,False,True,0.967
1906.01749,3,0.8664586544036865,2208.14559,3,False,True,0.967
1906.01749,4,0.8633075952529907,2410.14795,4,False,True,0.967
1906.01749,5,0.8611782193183899,1209.3126,5,False,True,0.967
1906.01749,6,0.8592351078987122,2209.03791,6,False,True,0.967
1906.01749,7,0.8591993451118469,2407.12336,7,False,True,0.967
1906.01749,8,0.8583893775939941,2105.13635,8,False,True,0.967
1906.01749,9,0.8542747497558594,1710.10994,9,False,True,0.967
1906.01749,10,0.8531968593597412,2303.03278,10,False,True,0.967
1909.05881,1,0.882353663444519,1805.10323,1,False,True,0.967
1909.05881,2,0.8778699040412903,cond-mat/0207032,2,False,False,0.967
1909.05881,3,0.8725864887237549,cond-mat/0407051,3,False,True,0.967
1909.05881,4,0.8717639446258545,2208.05759,4,False,True,0.967
1909.05881,5,0.8692537546157837,2010.00807,5,False,False,0.967
1909.05881,6,0.8667161464691162,cond-mat/0206534,6,False,False,0.967
1909.05881,7,0.8650321960449219,2502.20646,7,False,True,0.967
1909.05881,8,0.8645939826965332,1812.08884,8,False,True,0.967
1909.05881,9,0.8610548377037048,2009.01160,9,False,True,0.967
1909.05881,10,0.8582156896591187,cond-mat/0412554,10,False,True,0.967
1909.06599,1,0.8668408393859863,2003.00803,1,False,True,0.967
1909.06599,2,0.8624144196510315,2208.01445,2,False,True,0.967
1909.06599,3,0.8525801301002502,2405.11431,3,False,False,0.967
1909.06599,4,0.8470831513404846,2508.05416,4,False,False,0.967
1909.06599,5,0.8404446840286255,2310.09745,5,False,True,0.967
1909.06599,6,0.829153835773468,1707.07618,6,False,False,0.967
1909.06599,7,0.8256567120552063,2307.11718,7,False,False,0.967
1909.06599,8,0.8245640993118286,1912.11166,8,True,False,0.967
1909.06599,9,0.8230440020561218,2512.12815,9,False,True,0.967
1909.06599,10,0.8160415887832642,2211.16176,10,False,False,0.967
1910.13320,1,0.8952311277389526,1308.1547,1,False,False,0.967
1910.13320,2,0.8951826095581055,1004.3621,2,False,False,0.967
1910.13320,3,0.8910312056541443,2212.00958,3,False,False,0.967
1910.13320,4,0.8821995258331299,2009.04389,4,False,False,0.967
1910.13320,5,0.8790123462677002,math/0008221,5,False,False,0.967
1910.13320,6,0.8709054589271545,1905.04324,6,False,False,0.967
1910.13320,7,0.8685101270675659,math/0109185,7,False,False,0.967
1910.13320,8,0.8678141832351685,1611.08128,8,False,False,0.967
1910.13320,9,0.866808295249939,2602.21417,9,False,False,0.967
1910.13320,10,0.8658493757247925,1510.03617,10,False,False,0.967
1912.08033,1,0.8997979164123535,1209.0439,1,False,False,0.967
1912.08033,2,0.8890349864959717,2407.15432,2,False,True,0.967
1912.08033,3,0.8884265422821045,math/9906217,3,False,True,0.967
1912.08033,4,0.886568009853363,1602.07426,4,False,True,0.967
1912.08033,5,0.8865119218826294,1511.08468,5,False,False,0.967
1912.08033,6,0.8863637447357178,1805.05618,6,False,False,0.967
