query_arxiv_id,P@10,spd@10,tpr_top@10,tpr_non@10,fpr_top@10,fpr_non@10,tpr_gap@10,fpr_gap@10,n_relevant_top@10,n_relevant_non@10,P@100,spd@100,tpr_top@100,tpr_non@100,fpr_top@100,fpr_non@100,tpr_gap@100,fpr_gap@100,n_relevant_top@100,n_relevant_non@100
1408.3524,0.6,-0.0002063174400132043,0.0,0.011538461538461539,0.0,8.342196917558239e-05,-0.011538461538461539,-8.342196917558239e-05,19,520,0.34,-0.00119651896746744,0.0,0.06538461538461539,0.0008598452278589854,0.0013556069991032139,-0.06538461538461539,-0.0004957617712442285,19,520
1502.07238,0.7,-0.0002063174400132043,0.0,0.018276762402088774,0.0,6.238822110385559e-05,-0.018276762402088774,-6.238822110385559e-05,11,383,0.37,0.0005367918978617658,0.18181818181818182,0.09138381201044386,0.0008539709649871904,0.0012893565694796823,0.09043436980773796,-0.0004353856044924919,11,383
1508.01238,0.3,-0.0002063174400132043,0.0,0.010101010101010102,0.0,0.00014531262974341942,-0.010101010101010102,-0.00014531262974341942,2,297,0.13,-0.002063174400132043,0.0,0.04377104377104377,0.0,0.0018060283982396412,-0.04377104377104377,-0.0018060283982396412,2,297
1508.07619,0.0,0.0006603379926513987,0.0,0.0,0.0008561643835616438,0.00019023462270133164,0.0,0.0006659297608603121,14,1159,0.01,0.0005367918978617658,0.0,0.0008628127696289905,0.0025684931506849314,0.002029169308814204,-0.0008628127696289905,0.0005393238418707272,14,1159
1511.05420,0.8,-0.0002063174400132043,0.0,0.0041753653444676405,0.0,4.296178549180504e-05,-0.0041753653444676405,-4.296178549180504e-05,62,1916,0.68,0.0005367918978617658,0.04838709677419355,0.03392484342379958,0.0,0.0006873885678688806,0.014462253350393965,-0.0006873885678688806,62,1916
1603.04165,0.8,-0.0002063174400132043,0.0,0.0027739251040221915,0.0,4.387408138642097e-05,-0.0027739251040221915,-4.387408138642097e-05,105,2884,0.74,0.0005367918978617658,0.02857142857142857,0.024618585298196948,0.0,0.0005703630580234726,0.003952843273231622,-0.0005703630580234726,105,2884
1604.04601,0.9,-0.0002063174400132043,0.0,0.01730769230769231,0.0,2.0855492293895596e-05,-0.01730769230769231,-2.0855492293895596e-05,19,520,0.71,0.008336690791843192,0.47368421052631576,0.11923076923076924,0.0025795356835769563,0.0005422427996412855,0.3544534412955465,0.0020372928839356708,19,520
1604.06344,0.4,-0.0002063174400132043,0.0,0.0037105751391465678,0.0,0.000126606317655251,-0.0037105751391465678,-0.000126606317655251,39,1078,0.53,0.0022701027631909718,0.07692307692307693,0.04638218923933209,0.0017497812773403325,0.0009495473824143825,0.030540887683744834,0.00080023389492595,39,1078
1612.01800,0.4,0.0006603379926513987,0.0,0.0032102728731942215,0.0009149130832570906,0.00010588060902526312,-0.0032102728731942215,0.0008090324742318275,89,1246,0.51,0.0014034473305263688,0.011235955056179775,0.04012841091492777,0.0027447392497712718,0.0009741016030324207,-0.028892455858747994,0.001770637646738851,89,1246
1711.04797,0.4,-0.0002063174400132043,0.0,0.0023752969121140144,0.0,0.00012824623276691248,-0.0023752969121140144,-0.00012824623276691248,11,1684,0.34,-0.002063174400132043,0.0,0.020190023752969122,0.0,0.001410708560436037,-0.020190023752969122,-0.001410708560436037,11,1684
1810.07251,1.0,-0.0002063174400132043,0.0,0.001443209698369173,0.0,0.0,-0.001443209698369173,0.0,68,6929,0.92,-0.00032986353480283733,0.014705882352941176,0.013133208255159476,0.0008976660682226212,0.0001685122773230621,0.0015726740977817007,0.0007291537908995591,68,6929
1909.05881,0.7,0.0006603379926513987,0.006211180124223602,0.002070393374741201,0.0,6.583134010664677e-05,0.004140786749482401,-6.583134010664677e-05,161,2898,0.53,-0.00032986353480283733,0.012422360248447204,0.017598343685300208,0.0,0.0010313576616707994,-0.005175983436853004,-0.0010313576616707994,161,2898
1912.08033,0.6,-0.0002063174400132043,0.0,0.0072992700729927005,0.0,8.395072092681596e-05,-0.0072992700729927005,-8.395072092681596e-05,6,822,0.53,-0.002063174400132043,0.0,0.06447688564476886,0.0,0.0009864209708900875,-0.06447688564476886,-0.0009864209708900875,6,822
2002.12172,0.3,-0.0002063174400132043,0.0,0.0013537906137184115,0.0,0.00015134153460316088,-0.0013537906137184115,-0.00015134153460316088,83,2216,0.4,-0.00032986353480283733,0.0,0.018050541516245487,0.0018198362147406734,0.001253972715283333,-0.018050541516245487,0.0005658634994573405,83,2216
2003.06358,0.2,0.0006603379926513987,0.0,0.0016051364365971107,0.0009149130832570906,0.00014823285263536836,-0.0016051364365971107,0.0007666802306217223,89,1246,0.12,0.0014034473305263688,0.011235955056179775,0.00882825040128411,0.0027447392497712718,0.0017999703534294729,0.0024077046548956656,0.0009447688963417989,89,1246
2007.13334,0.7,-0.0002063174400132043,0.0,0.0017743979721166034,0.0,6.737939089030635e-05,-0.0017743979721166034,-6.737939089030635e-05,142,3945,0.74,0.0014034473305263688,0.02112676056338028,0.017997465145754118,0.0009615384615384616,0.0005614949240858863,0.0031292954176261635,0.0004000435374525753,142,3945
2109.03095,0.3,0.0006603379926513987,0.0,0.004918032786885246,0.0008488964346349745,0.00012536826929104242,-0.004918032786885246,0.0007235281653439321,4,610,0.37,-0.00032986353480283733,0.0,0.060655737704918035,0.001697792869269949,0.0012745774044589315,-0.060655737704918035,0.0004232154648110176,4,610
2201.07330,0.7,0.0006603379926513987,0.0625,0.015113350125944584,0.0,6.240639041437844e-05,0.047386649874055414,-6.240639041437844e-05,16,397,0.43,0.0014034473305263688,0.0625,0.10579345088161209,0.002572898799313894,0.0011233150274588119,-0.043293450881612086,0.001449583771855082,16,397
2208.08634,1.0,-0.0002063174400132043,0.0,0.00576036866359447,0.0,0.0,-0.00576036866359447,0.0,122,1736,0.92,0.0031367581958555747,0.04918032786885246,0.04953917050691244,0.0,0.00017118524383198167,-0.0003588426380599849,-0.00017118524383198167,122,1736
2212.05081,0.1,0.0006603379926513987,0.0,0.00017590149516270889,0.0009041591320072332,0.00018698578908002991,-0.00017590149516270889,0.0007171733429272033,76,5685,0.1,-0.00032986353480283733,0.0,0.001759014951627089,0.0018083182640144665,0.002056843679880329,-0.001759014951627089,-0.00024852541586586267,76,5685
2302.10730,0.9,-0.0002063174400132043,0.0,0.0027658266748617085,0.0,2.2116554240849277e-05,-0.0027658266748617085,-2.2116554240849277e-05,29,3254,0.96,-0.002063174400132043,0.0,0.02950215119852489,0.0,8.846621696339711e-05,-0.02950215119852489,-8.846621696339711e-05,29,3254
2304.01138,0.6,-0.0002063174400132043,0.0,0.008862629246676515,0.0,8.369601606963509e-05,-0.008862629246676515,-8.369601606963509e-05,6,677,0.49,-0.002063174400132043,0.0,0.0723781388478582,0.0,0.0010671242048878474,-0.0723781388478582,-0.0010671242048878474,6,677
2306.08340,0.2,-0.0002063174400132043,0.0,0.004424778761061947,0.0,0.0001666076597871587,-0.004424778761061947,-0.0001666076597871587,1,452,0.12,-0.00032986353480283733,0.0,0.02654867256637168,0.001693480101608806,0.0017910323427119562,-0.02654867256637168,-9.755224110315013e-05,1,452
2310.12878,0.6,-0.0002063174400132043,0.0,0.0010891268832819024,0.0,9.310986964618249e-05,-0.0010891268832819024,-9.310986964618249e-05,204,5509,0.62,-0.00119651896746744,0.004901960784313725,0.011072789980032674,0.0,0.0008845437616387337,-0.006170829195718949,-0.0008845437616387337,204,5509
2402.19043,1.0,-0.0002063174400132043,0.0,0.003073140749846343,0.0,0.0,-0.003073140749846343,0.0,29,3254,0.9,-0.00119651896746744,0.034482758620689655,0.027350952673632453,0.0,0.00022116554240849277,0.0071318059470572015,-0.00022116554240849277,29,3254
2403.02159,0.2,0.0006603379926513987,0.0,0.0019120458891013384,0.0008833922261484099,0.00014760770090462434,-0.0019120458891013384,0.0007357845252437855,50,1046,0.47,0.004003413628520178,0.06,0.04206500956022945,0.0035335689045936395,0.0010332539063323703,0.01793499043977055,0.0025003149982612692,50,1046
2501.10890,0.8,0.0006603379926513987,0.0,0.004197271773347324,0.0009328358208955224,2.1476279449348196e-05,-0.004197271773347324,0.0009113595414461742,110,1906,0.55,0.004870069061184781,0.03636363636363636,0.026757607555089193,0.0037313432835820895,0.000880527457423276,0.00960602880854717,0.0028508158261588137,110,1906
2501.13653,1.0,-0.0002063174400132043,0.0,0.002461235540241201,0.0,0.0,-0.002461235540241201,0.0,162,4063,0.97,-0.00119651896746744,0.006172839506172839,0.02362786118631553,0.0,6.755843804891231e-05,-0.01745502168014269,-6.755843804891231e-05,162,4063
astro-ph/0406299,0.4,-0.0002063174400132043,0.0,0.002569043031470777,0.0,0.00012789904502046384,-0.002569043031470777,-0.00012789904502046384,119,1557,0.26,0.0014034473305263688,0.01680672268907563,0.015414258188824663,0.0018814675446848542,0.0015347885402455662,0.001392464500250967,0.00034667900443928804,119,1557
astro-ph/0510756,0.7,0.0006603379926513987,0.008403361344537815,0.0038535645472061657,0.0,6.394952251023192e-05,0.004549796797331649,-6.394952251023192e-05,119,1557,0.39,0.004003413628520178,0.04201680672268908,0.021836865767501604,0.0018814675446848542,0.0012576739427012278,0.020179940955187475,0.0006237936019836264,119,1557
astro-ph/9402047,0.4,0.0006603379926513987,0.0,0.002569043031470777,0.0009407337723424271,0.00010658253751705321,-0.002569043031470777,0.0008341512348253739,119,1557,0.51,0.004870069061184781,0.04201680672268908,0.029543994861913937,0.0028222013170272815,0.0009805593451568896,0.012472811860775142,0.0018416419718703919,119,1557
cond-mat/0109465,0.8,0.0006603379926513987,0.0,0.0034782608695652175,0.0009587727708533077,2.1659555112737983e-05,-0.0034782608695652175,0.0009371132157405698,139,2300,0.8,0.0031367581958555747,0.02877697841726619,0.03304347826086956,0.0019175455417066154,0.0003898719920292837,-0.004266499843603375,0.0015276735496773317,139,2300
cond-mat/0305445,0.1,-0.0002063174400132043,0.0,0.0025380710659898475,0.0,0.000187207488299532,-0.0025380710659898475,-0.000187207488299532,16,394,0.09,0.0031367581958555747,0.0625,0.02030456852791878,0.004288164665523156,0.0017888715548621944,0.04219543147208122,0.002499293110660962,16,394
